date_key,full_date,day,month,month_name,quarter,year,week_number,day_of_week,is_weekend_uae,is_peak_season,is_ramadan,fiscal_year,fiscal_quarter,currency
20210207,2021-02-07,7,2,February,Q1,2021,5,Sunday,False,False,False,FY2021,Q1,AED
20210208,2021-02-08,8,2,February,Q1,2021,6,Monday,False,False,False,FY2021,Q1,AED
20210209,2021-02-09,9,2,February,Q1,2021,6,Tuesday,False,False,False,FY2021,Q1,AED
20210210,2021-02-10,10,2,February,Q1,2021,6,Wednesday,False,False,False,FY2021,Q1,AED
20210211,2021-02-11,11,2,February,Q1,2021,6,Thursday,False,False,False,FY2021,Q1,AED
20210212,2021-02-12,12,2,February,Q1,2021,6,Friday,True,False,False,FY2021,Q1,AED
20210213,2021-02-13,13,2,February,Q1,2021,6,Saturday,True,False,False,FY2021,Q1,AED
20210214,2021-02-14,14,2,February,Q1,2021,6,Sunday,False,True,False,FY2021,Q1,AED
20210215,2021-02-15,15,2,February,Q1,2021,7,Monday,False,False,False,FY2021,Q1,AED
20210216,2021-02-16,16,2,February,Q1,2021,7,Tuesday,False,False,False,FY2021,Q1,AED
20210217,2021-02-17,17,2,February,Q1,2021,7,Wednesday,False,False,False,FY2021,Q1,AED
20210218,2021-02-18,18,2,February,Q1,2021,7,Thursday,False,False,False,FY2021,Q1,AED
20210219,2021-02-19,19,2,February,Q1,2021,7,Friday,True,False,False,FY2021,Q1,AED
20210220,2021-02-20,20,2,February,Q1,2021,7,Saturday,True,False,False,FY2021,Q1,AED
20210221,2021-02-21,21,2,February,Q1,2021,7,Sunday,False,False,False,FY2021,Q1,AED
20210222,2021-02-22,22,2,February,Q1,2021,8,Monday,False,False,False,FY2021,Q1,AED
20210223,2021-02-23,23,2,February,Q1,2021,8,Tuesday,False,False,False,FY2021,Q1,AED
20210224,2021-02-24,24,2,February,Q1,2021,8,Wednesday,False,False,False,FY2021,Q1,AED
20210225,2021-02-25,25,2,February,Q1,2021,8,Thursday,False,False,False,FY2021,Q1,AED
20210226,2021-02-26,26,2,February,Q1,2021,8,Friday,True,False,False,FY2021,Q1,AED
20210227,2021-02-27,27,2,February,Q1,2021,8,Saturday,True,False,False,FY2021,Q1,AED
20210228,2021-02-28,28,2,February,Q1,2021,8,Sunday,False,False,False,FY2021,Q1,AED
20210301,2021-03-01,1,3,March,Q1,2021,9,Monday,False,False,False,FY2021,Q1,AED
20210302,2021-03-02,2,3,March,Q1,2021,9,Tuesday,False,False,False,FY2021,Q1,AED
20210303,2021-03-03,3,3,March,Q1,2021,9,Wednesday,False,False,False,FY2021,Q1,AED
20210304,2021-03-04,4,3,March,Q1,2021,9,Thursday,False,False,False,FY2021,Q1,AED
20210305,2021-03-05,5,3,March,Q1,2021,9,Friday,True,False,False,FY2021,Q1,AED
20210306,2021-03-06,6,3,March,Q1,2021,9,Saturday,True,False,False,FY2021,Q1,AED
20210307,2021-03-07,7,3,March,Q1,2021,9,Sunday,False,False,False,FY2021,Q1,AED
20210308,2021-03-08,8,3,March,Q1,2021,10,Monday,False,False,False,FY2021,Q1,AED
20210309,2021-03-09,9,3,March,Q1,2021,10,Tuesday,False,False,False,FY2021,Q1,AED
20210310,2021-03-10,10,3,March,Q1,2021,10,Wednesday,False,False,False,FY2021,Q1,AED
20210311,2021-03-11,11,3,March,Q1,2021,10,Thursday,False,False,False,FY2021,Q1,AED
20210312,2021-03-12,12,3,March,Q1,2021,10,Friday,True,False,False,FY2021,Q1,AED
20210313,2021-03-13,13,3,March,Q1,2021,10,Saturday,True,False,False,FY2021,Q1,AED
20210314,2021-03-14,14,3,March,Q1,2021,10,Sunday,False,False,False,FY2021,Q1,AED
20210315,2021-03-15,15,3,March,Q1,2021,11,Monday,False,False,False,FY2021,Q1,AED
20210316,2021-03-16,16,3,March,Q1,2021,11,Tuesday,False,False,False,FY2021,Q1,AED
20210317,2021-03-17,17,3,March,Q1,2021,11,Wednesday,False,False,False,FY2021,Q1,AED
20210318,2021-03-18,18,3,March,Q1,2021,11,Thursday,False,False,False,FY2021,Q1,AED
20210319,2021-03-19,19,3,March,Q1,2021,11,Friday,True,False,False,FY2021,Q1,AED
20210320,2021-03-20,20,3,March,Q1,2021,11,Saturday,True,False,False,FY2021,Q1,AED
20210321,2021-03-21,21,3,March,Q1,2021,11,Sunday,False,False,False,FY2021,Q1,AED
20210322,2021-03-22,22,3,March,Q1,2021,12,Monday,False,False,False,FY2021,Q1,AED
20210323,2021-03-23,23,3,March,Q1,2021,12,Tuesday,False,False,False,FY2021,Q1,AED
20210324,2021-03-24,24,3,March,Q1,2021,12,Wednesday,False,False,False,FY2021,Q1,AED
20210325,2021-03-25,25,3,March,Q1,2021,12,Thursday,False,False,False,FY2021,Q1,AED
20210326,2021-03-26,26,3,March,Q1,2021,12,Friday,True,False,False,FY2021,Q1,AED
20210327,2021-03-27,27,3,March,Q1,2021,12,Saturday,True,False,False,FY2021,Q1,AED
20210328,2021-03-28,28,3,March,Q1,2021,12,Sunday,False,False,False,FY2021,Q1,AED
20210329,2021-03-29,29,3,March,Q1,2021,13,Monday,False,False,False,FY2021,Q1,AED
20210330,2021-03-30,30,3,March,Q1,2021,13,Tuesday,False,False,False,FY2021,Q1,AED
20210331,2021-03-31,31,3,March,Q1,2021,13,Wednesday,False,False,False,FY2021,Q1,AED
20210401,2021-04-01,1,4,April,Q2,2021,13,Thursday,False,False,False,FY2021,Q2,AED
20210402,2021-04-02,2,4,April,Q2,2021,13,Friday,True,False,False,FY2021,Q2,AED
20210403,2021-04-03,3,4,April,Q2,2021,13,Saturday,True,False,False,FY2021,Q2,AED
20210404,2021-04-04,4,4,April,Q2,2021,13,Sunday,False,False,False,FY2021,Q2,AED
20210405,2021-04-05,5,4,April,Q2,2021,14,Monday,False,False,False,FY2021,Q2,AED
20210406,2021-04-06,6,4,April,Q2,2021,14,Tuesday,False,False,False,FY2021,Q2,AED
20210407,2021-04-07,7,4,April,Q2,2021,14,Wednesday,False,False,False,FY2021,Q2,AED
20210408,2021-04-08,8,4,April,Q2,2021,14,Thursday,False,False,False,FY2021,Q2,AED
20210409,2021-04-09,9,4,April,Q2,2021,14,Friday,True,False,False,FY2021,Q2,AED
20210410,2021-04-10,10,4,April,Q2,2021,14,Saturday,True,False,False,FY2021,Q2,AED
20210411,2021-04-11,11,4,April,Q2,2021,14,Sunday,False,False,False,FY2021,Q2,AED
20210412,2021-04-12,12,4,April,Q2,2021,15,Monday,False,False,False,FY2021,Q2,AED
20210413,2021-04-13,13,4,April,Q2,2021,15,Tuesday,False,False,True,FY2021,Q2,AED
20210414,2021-04-14,14,4,April,Q2,2021,15,Wednesday,False,False,True,FY2021,Q2,AED
20210415,2021-04-15,15,4,April,Q2,2021,15,Thursday,False,False,True,FY2021,Q2,AED
20210416,2021-04-16,16,4,April,Q2,2021,15,Friday,True,False,True,FY2021,Q2,AED
20210417,2021-04-17,17,4,April,Q2,2021,15,Saturday,True,False,True,FY2021,Q2,AED
20210418,2021-04-18,18,4,April,Q2,2021,15,Sunday,False,False,True,FY2021,Q2,AED
20210419,2021-04-19,19,4,April,Q2,2021,16,Monday,False,False,True,FY2021,Q2,AED
20210420,2021-04-20,20,4,April,Q2,2021,16,Tuesday,False,False,True,FY2021,Q2,AED
20210421,2021-04-21,21,4,April,Q2,2021,16,Wednesday,False,False,True,FY2021,Q2,AED
20210422,2021-04-22,22,4,April,Q2,2021,16,Thursday,False,False,True,FY2021,Q2,AED
20210423,2021-04-23,23,4,April,Q2,2021,16,Friday,True,False,True,FY2021,Q2,AED
20210424,2021-04-24,24,4,April,Q2,2021,16,Saturday,True,False,True,FY2021,Q2,AED
20210425,2021-04-25,25,4,April,Q2,2021,16,Sunday,False,False,True,FY2021,Q2,AED
20210426,2021-04-26,26,4,April,Q2,2021,17,Monday,False,False,True,FY2021,Q2,AED
20210427,2021-04-27,27,4,April,Q2,2021,17,Tuesday,False,False,True,FY2021,Q2,AED
20210428,2021-04-28,28,4,April,Q2,2021,17,Wednesday,False,False,True,FY2021,Q2,AED
20210429,2021-04-29,29,4,April,Q2,2021,17,Thursday,False,False,True,FY2021,Q2,AED
20210430,2021-04-30,30,4,April,Q2,2021,17,Friday,True,False,True,FY2021,Q2,AED
20210501,2021-05-01,1,5,May,Q2,2021,17,Saturday,True,False,True,FY2021,Q2,AED
20210502,2021-05-02,2,5,May,Q2,2021,17,Sunday,False,False,True,FY2021,Q2,AED
20210503,2021-05-03,3,5,May,Q2,2021,18,Monday,False,False,True,FY2021,Q2,AED
20210504,2021-05-04,4,5,May,Q2,2021,18,Tuesday,False,False,True,FY2021,Q2,AED
20210505,2021-05-05,5,5,May,Q2,2021,18,Wednesday,False,False,True,FY2021,Q2,AED
20210506,2021-05-06,6,5,May,Q2,2021,18,Thursday,False,False,True,FY2021,Q2,AED
20210507,2021-05-07,7,5,May,Q2,2021,18,Friday,True,False,True,FY2021,Q2,AED
20210508,2021-05-08,8,5,May,Q2,2021,18,Saturday,True,False,True,FY2021,Q2,AED
20210509,2021-05-09,9,5,May,Q2,2021,18,Sunday,False,False,True,FY2021,Q2,AED
20210510,2021-05-10,10,5,May,Q2,2021,19,Monday,False,False,True,FY2021,Q2,AED
20210511,2021-05-11,11,5,May,Q2,2021,19,Tuesday,False,False,True,FY2021,Q2,AED
20210512,2021-05-12,12,5,May,Q2,2021,19,Wednesday,False,False,True,FY2021,Q2,AED
20210513,2021-05-13,13,5,May,Q2,2021,19,Thursday,False,True,False,FY2021,Q2,AED
20210514,2021-05-14,14,5,May,Q2,2021,19,Friday,True,True,False,FY2021,Q2,AED
20210515,2021-05-15,15,5,May,Q2,2021,19,Saturday,True,True,False,FY2021,Q2,AED
20210516,2021-05-16,16,5,May,Q2,2021,19,Sunday,False,True,False,FY2021,Q2,AED
20210517,2021-05-17,17,5,May,Q2,2021,20,Monday,False,False,False,FY2021,Q2,AED
20210518,2021-05-18,18,5,May,Q2,2021,20,Tuesday,False,False,False,FY2021,Q2,AED
20210519,2021-05-19,19,5,May,Q2,2021,20,Wednesday,False,False,False,FY2021,Q2,AED
20210520,2021-05-20,20,5,May,Q2,2021,20,Thursday,False,False,False,FY2021,Q2,AED
20210521,2021-05-21,21,5,May,Q2,2021,20,Friday,True,False,False,FY2021,Q2,AED
20210522,2021-05-22,22,5,May,Q2,2021,20,Saturday,True,False,False,FY2021,Q2,AED
20210523,2021-05-23,23,5,May,Q2,2021,20,Sunday,False,False,False,FY2021,Q2,AED
20210524,2021-05-24,24,5,May,Q2,2021,21,Monday,False,False,False,FY2021,Q2,AED
20210525,2021-05-25,25,5,May,Q2,2021,21,Tuesday,False,False,False,FY2021,Q2,AED
20210526,2021-05-26,26,5,May,Q2,2021,21,Wednesday,False,False,False,FY2021,Q2,AED
20210527,2021-05-27,27,5,May,Q2,2021,21,Thursday,False,False,False,FY2021,Q2,AED
20210528,2021-05-28,28,5,May,Q2,2021,21,Friday,True,False,False,FY2021,Q2,AED
20210529,2021-05-29,29,5,May,Q2,2021,21,Saturday,True,False,False,FY2021,Q2,AED
20210530,2021-05-30,30,5,May,Q2,2021,21,Sunday,False,False,False,FY2021,Q2,AED
20210531,2021-05-31,31,5,May,Q2,2021,22,Monday,False,False,False,FY2021,Q2,AED
20210601,2021-06-01,1,6,June,Q2,2021,22,Tuesday,False,False,False,FY2021,Q2,AED
20210602,2021-06-02,2,6,June,Q2,2021,22,Wednesday,False,False,False,FY2021,Q2,AED
20210603,2021-06-03,3,6,June,Q2,2021,22,Thursday,False,False,False,FY2021,Q2,AED
20210604,2021-06-04,4,6,June,Q2,2021,22,Friday,True,False,False,FY2021,Q2,AED
20210605,2021-06-05,5,6,June,Q2,2021,22,Saturday,True,False,False,FY2021,Q2,AED
20210606,2021-06-06,6,6,June,Q2,2021,22,Sunday,False,False,False,FY2021,Q2,AED
20210607,2021-06-07,7,6,June,Q2,2021,23,Monday,False,False,False,FY2021,Q2,AED
20210608,2021-06-08,8,6,June,Q2,2021,23,Tuesday,False,False,False,FY2021,Q2,AED
20210609,2021-06-09,9,6,June,Q2,2021,23,Wednesday,False,False,False,FY2021,Q2,AED
20210610,2021-06-10,10,6,June,Q2,2021,23,Thursday,False,False,False,FY2021,Q2,AED
20210611,2021-06-11,11,6,June,Q2,2021,23,Friday,True,False,False,FY2021,Q2,AED
20210612,2021-06-12,12,6,June,Q2,2021,23,Saturday,True,False,False,FY2021,Q2,AED
20210613,2021-06-13,13,6,June,Q2,2021,23,Sunday,False,False,False,FY2021,Q2,AED
20210614,2021-06-14,14,6,June,Q2,2021,24,Monday,False,False,False,FY2021,Q2,AED
20210615,2021-06-15,15,6,June,Q2,2021,24,Tuesday,False,False,False,FY2021,Q2,AED
20210616,2021-06-16,16,6,June,Q2,2021,24,Wednesday,False,False,False,FY2021,Q2,AED
20210617,2021-06-17,17,6,June,Q2,2021,24,Thursday,False,False,False,FY2021,Q2,AED
20210618,2021-06-18,18,6,June,Q2,2021,24,Friday,True,False,False,FY2021,Q2,AED
20210619,2021-06-19,19,6,June,Q2,2021,24,Saturday,True,False,False,FY2021,Q2,AED
20210620,2021-06-20,20,6,June,Q2,2021,24,Sunday,False,False,False,FY2021,Q2,AED
20210621,2021-06-21,21,6,June,Q2,2021,25,Monday,False,False,False,FY2021,Q2,AED
20210622,2021-06-22,22,6,June,Q2,2021,25,Tuesday,False,False,False,FY2021,Q2,AED
20210623,2021-06-23,23,6,June,Q2,2021,25,Wednesday,False,False,False,FY2021,Q2,AED
20210624,2021-06-24,24,6,June,Q2,2021,25,Thursday,False,False,False,FY2021,Q2,AED
20210625,2021-06-25,25,6,June,Q2,2021,25,Friday,True,False,False,FY2021,Q2,AED
20210626,2021-06-26,26,6,June,Q2,2021,25,Saturday,True,False,False,FY2021,Q2,AED
20210627,2021-06-27,27,6,June,Q2,2021,25,Sunday,False,False,False,FY2021,Q2,AED
20210628,2021-06-28,28,6,June,Q2,2021,26,Monday,False,False,False,FY2021,Q2,AED
20210629,2021-06-29,29,6,June,Q2,2021,26,Tuesday,False,False,False,FY2021,Q2,AED
20210630,2021-06-30,30,6,June,Q2,2021,26,Wednesday,False,False,False,FY2021,Q2,AED
20210701,2021-07-01,1,7,July,Q3,2021,26,Thursday,False,False,False,FY2021,Q3,AED
20210702,2021-07-02,2,7,July,Q3,2021,26,Friday,True,False,False,FY2021,Q3,AED
20210703,2021-07-03,3,7,July,Q3,2021,26,Saturday,True,False,False,FY2021,Q3,AED
20210704,2021-07-04,4,7,July,Q3,2021,26,Sunday,False,False,False,FY2021,Q3,AED
20210705,2021-07-05,5,7,July,Q3,2021,27,Monday,False,False,False,FY2021,Q3,AED
20210706,2021-07-06,6,7,July,Q3,2021,27,Tuesday,False,False,False,FY2021,Q3,AED
20210707,2021-07-07,7,7,July,Q3,2021,27,Wednesday,False,False,False,FY2021,Q3,AED
20210708,2021-07-08,8,7,July,Q3,2021,27,Thursday,False,False,False,FY2021,Q3,AED
20210709,2021-07-09,9,7,July,Q3,2021,27,Friday,True,False,False,FY2021,Q3,AED
20210710,2021-07-10,10,7,July,Q3,2021,27,Saturday,True,False,False,FY2021,Q3,AED
20210711,2021-07-11,11,7,July,Q3,2021,27,Sunday,False,False,False,FY2021,Q3,AED
20210712,2021-07-12,12,7,July,Q3,2021,28,Monday,False,False,False,FY2021,Q3,AED
20210713,2021-07-13,13,7,July,Q3,2021,28,Tuesday,False,False,False,FY2021,Q3,AED
20210714,2021-07-14,14,7,July,Q3,2021,28,Wednesday,False,False,False,FY2021,Q3,AED
20210715,2021-07-15,15,7,July,Q3,2021,28,Thursday,False,False,False,FY2021,Q3,AED
20210716,2021-07-16,16,7,July,Q3,2021,28,Friday,True,False,False,FY2021,Q3,AED
20210717,2021-07-17,17,7,July,Q3,2021,28,Saturday,True,False,False,FY2021,Q3,AED
20210718,2021-07-18,18,7,July,Q3,2021,28,Sunday,False,False,False,FY2021,Q3,AED
20210719,2021-07-19,19,7,July,Q3,2021,29,Monday,False,False,False,FY2021,Q3,AED
20210720,2021-07-20,20,7,July,Q3,2021,29,Tuesday,False,True,False,FY2021,Q3,AED
20210721,2021-07-21,21,7,July,Q3,2021,29,Wednesday,False,True,False,FY2021,Q3,AED
20210722,2021-07-22,22,7,July,Q3,2021,29,Thursday,False,True,False,FY2021,Q3,AED
20210723,2021-07-23,23,7,July,Q3,2021,29,Friday,True,True,False,FY2021,Q3,AED
20210724,2021-07-24,24,7,July,Q3,2021,29,Saturday,True,False,False,FY2021,Q3,AED
20210725,2021-07-25,25,7,July,Q3,2021,29,Sunday,False,False,False,FY2021,Q3,AED
20210726,2021-07-26,26,7,July,Q3,2021,30,Monday,False,False,False,FY2021,Q3,AED
20210727,2021-07-27,27,7,July,Q3,2021,30,Tuesday,False,False,False,FY2021,Q3,AED
20210728,2021-07-28,28,7,July,Q3,2021,30,Wednesday,False,False,False,FY2021,Q3,AED
20210729,2021-07-29,29,7,July,Q3,2021,30,Thursday,False,False,False,FY2021,Q3,AED
20210730,2021-07-30,30,7,July,Q3,2021,30,Friday,True,False,False,FY2021,Q3,AED
20210731,2021-07-31,31,7,July,Q3,2021,30,Saturday,True,False,False,FY2021,Q3,AED
20210801,2021-08-01,1,8,August,Q3,2021,30,Sunday,False,False,False,FY2021,Q3,AED
20210802,2021-08-02,2,8,August,Q3,2021,31,Monday,False,False,False,FY2021,Q3,AED
20210803,2021-08-03,3,8,August,Q3,2021,31,Tuesday,False,False,False,FY2021,Q3,AED
20210804,2021-08-04,4,8,August,Q3,2021,31,Wednesday,False,False,False,FY2021,Q3,AED
20210805,2021-08-05,5,8,August,Q3,2021,31,Thursday,False,False,False,FY2021,Q3,AED
20210806,2021-08-06,6,8,August,Q3,2021,31,Friday,True,False,False,FY2021,Q3,AED
20210807,2021-08-07,7,8,August,Q3,2021,31,Saturday,True,False,False,FY2021,Q3,AED
20210808,2021-08-08,8,8,August,Q3,2021,31,Sunday,False,False,False,FY2021,Q3,AED
20210809,2021-08-09,9,8,August,Q3,2021,32,Monday,False,False,False,FY2021,Q3,AED
20210810,2021-08-10,10,8,August,Q3,2021,32,Tuesday,False,False,False,FY2021,Q3,AED
20210811,2021-08-11,11,8,August,Q3,2021,32,Wednesday,False,False,False,FY2021,Q3,AED
20210812,2021-08-12,12,8,August,Q3,2021,32,Thursday,False,False,False,FY2021,Q3,AED
20210813,2021-08-13,13,8,August,Q3,2021,32,Friday,True,False,False,FY2021,Q3,AED
20210814,2021-08-14,14,8,August,Q3,2021,32,Saturday,True,False,False,FY2021,Q3,AED
20210815,2021-08-15,15,8,August,Q3,2021,32,Sunday,False,False,False,FY2021,Q3,AED
20210816,2021-08-16,16,8,August,Q3,2021,33,Monday,False,False,False,FY2021,Q3,AED
20210817,2021-08-17,17,8,August,Q3,2021,33,Tuesday,False,False,False,FY2021,Q3,AED
20210818,2021-08-18,18,8,August,Q3,2021,33,Wednesday,False,False,False,FY2021,Q3,AED
20210819,2021-08-19,19,8,August,Q3,2021,33,Thursday,False,False,False,FY2021,Q3,AED
20210820,2021-08-20,20,8,August,Q3,2021,33,Friday,True,False,False,FY2021,Q3,AED
20210821,2021-08-21,21,8,August,Q3,2021,33,Saturday,True,False,False,FY2021,Q3,AED
20210822,2021-08-22,22,8,August,Q3,2021,33,Sunday,False,False,False,FY2021,Q3,AED
20210823,2021-08-23,23,8,August,Q3,2021,34,Monday,False,False,False,FY2021,Q3,AED
20210824,2021-08-24,24,8,August,Q3,2021,34,Tuesday,False,False,False,FY2021,Q3,AED
20210825,2021-08-25,25,8,August,Q3,2021,34,Wednesday,False,False,False,FY2021,Q3,AED
20210826,2021-08-26,26,8,August,Q3,2021,34,Thursday,False,False,False,FY2021,Q3,AED
20210827,2021-08-27,27,8,August,Q3,2021,34,Friday,True,False,False,FY2021,Q3,AED
20210828,2021-08-28,28,8,August,Q3,2021,34,Saturday,True,False,False,FY2021,Q3,AED
20210829,2021-08-29,29,8,August,Q3,2021,34,Sunday,False,False,False,FY2021,Q3,AED
20210830,2021-08-30,30,8,August,Q3,2021,35,Monday,False,False,False,FY2021,Q3,AED
20210831,2021-08-31,31,8,August,Q3,2021,35,Tuesday,False,False,False,FY2021,Q3,AED
20210901,2021-09-01,1,9,September,Q3,2021,35,Wednesday,False,False,False,FY2021,Q3,AED
20210902,2021-09-02,2,9,September,Q3,2021,35,Thursday,False,False,False,FY2021,Q3,AED
20210903,2021-09-03,3,9,September,Q3,2021,35,Friday,True,False,False,FY2021,Q3,AED
20210904,2021-09-04,4,9,September,Q3,2021,35,Saturday,True,False,False,FY2021,Q3,AED
20210905,2021-09-05,5,9,September,Q3,2021,35,Sunday,False,False,False,FY2021,Q3,AED
20210906,2021-09-06,6,9,September,Q3,2021,36,Monday,False,False,False,FY2021,Q3,AED
20210907,2021-09-07,7,9,September,Q3,2021,36,Tuesday,False,False,False,FY2021,Q3,AED
20210908,2021-09-08,8,9,September,Q3,2021,36,Wednesday,False,False,False,FY2021,Q3,AED
20210909,2021-09-09,9,9,September,Q3,2021,36,Thursday,False,False,False,FY2021,Q3,AED
20210910,2021-09-10,10,9,September,Q3,2021,36,Friday,True,False,False,FY2021,Q3,AED
20210911,2021-09-11,11,9,September,Q3,2021,36,Saturday,True,False,False,FY2021,Q3,AED
20210912,2021-09-12,12,9,September,Q3,2021,36,Sunday,False,False,False,FY2021,Q3,AED
20210913,2021-09-13,13,9,September,Q3,2021,37,Monday,False,False,False,FY2021,Q3,AED
20210914,2021-09-14,14,9,September,Q3,2021,37,Tuesday,False,False,False,FY2021,Q3,AED
20210915,2021-09-15,15,9,September,Q3,2021,37,Wednesday,False,False,False,FY2021,Q3,AED
20210916,2021-09-16,16,9,September,Q3,2021,37,Thursday,False,False,False,FY2021,Q3,AED
20210917,2021-09-17,17,9,September,Q3,2021,37,Friday,True,False,False,FY2021,Q3,AED
20210918,2021-09-18,18,9,September,Q3,2021,37,Saturday,True,False,False,FY2021,Q3,AED
20210919,2021-09-19,19,9,September,Q3,2021,37,Sunday,False,False,False,FY2021,Q3,AED
20210920,2021-09-20,20,9,September,Q3,2021,38,Monday,False,False,False,FY2021,Q3,AED
20210921,2021-09-21,21,9,September,Q3,2021,38,Tuesday,False,False,False,FY2021,Q3,AED
20210922,2021-09-22,22,9,September,Q3,2021,38,Wednesday,False,False,False,FY2021,Q3,AED
20210923,2021-09-23,23,9,September,Q3,2021,38,Thursday,False,False,False,FY2021,Q3,AED
20210924,2021-09-24,24,9,September,Q3,2021,38,Friday,True,False,False,FY2021,Q3,AED
20210925,2021-09-25,25,9,September,Q3,2021,38,Saturday,True,False,False,FY2021,Q3,AED
20210926,2021-09-26,26,9,September,Q3,2021,38,Sunday,False,False,False,FY2021,Q3,AED
20210927,2021-09-27,27,9,September,Q3,2021,39,Monday,False,False,False,FY2021,Q3,AED
20210928,2021-09-28,28,9,September,Q3,2021,39,Tuesday,False,False,False,FY2021,Q3,AED
20210929,2021-09-29,29,9,September,Q3,2021,39,Wednesday,False,False,False,FY2021,Q3,AED
20210930,2021-09-30,30,9,September,Q3,2021,39,Thursday,False,False,False,FY2021,Q3,AED
20211001,2021-10-01,1,10,October,Q4,2021,39,Friday,True,False,False,FY2021,Q4,AED
20211002,2021-10-02,2,10,October,Q4,2021,39,Saturday,True,False,False,FY2021,Q4,AED
20211003,2021-10-03,3,10,October,Q4,2021,39,Sunday,False,False,False,FY2021,Q4,AED
20211004,2021-10-04,4,10,October,Q4,2021,40,Monday,False,False,False,FY2021,Q4,AED
20211005,2021-10-05,5,10,October,Q4,2021,40,Tuesday,False,False,False,FY2021,Q4,AED
20211006,2021-10-06,6,10,October,Q4,2021,40,Wednesday,False,False,False,FY2021,Q4,AED
20211007,2021-10-07,7,10,October,Q4,2021,40,Thursday,False,False,False,FY2021,Q4,AED
20211008,2021-10-08,8,10,October,Q4,2021,40,Friday,True,False,False,FY2021,Q4,AED
20211009,2021-10-09,9,10,October,Q4,2021,40,Saturday,True,False,False,FY2021,Q4,AED
