SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CATEGORY,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,GST_NUMBER,EMAIL,PHONE,STATUS,SUPPLIER_COLOR,DISPLAY_ORDER,OLD_SUPPLIER_CODE,LEGACY_SUPPLIER_ID,EXPORT_FLAG,PRINT_ORDER,CACHE_KEY,TEMP_FLAG,SCREEN_NAME,ICON_NAME,PROFILE_IMAGE,LAST_VISIT_DATE,REPORT_GROUP,MIGRATION_BATCH,SUPPLIER_RATING
SUP011,Supplier 11,Precious Metals,Indore,Punjab,India,27XDYWV96377794Y,supplier11@company.com,+916791156110,INACTIVE,#45B7D1,11,OLD11,11,0,77,sup_11,1,SupplierScreen,supplier_icon,supplier_11.jpg,2025-07-26,GROUP3,BATCH_2024,2.91
SUP012,Supplier 12,Finished Goods,Surat,Madhya Pradesh,India,27OODPP76524003V,supplier12@company.com,+919847423850,ACTIVE,#45B7D1,12,OLD12,12,0,59,sup_12,0,SupplierScreen,supplier_icon,supplier_12.jpg,2025-08-05,GROUP1,BATCH_2025,4.63
SUP013,Supplier 13,Precious Metals,Chandigarh,Gujarat,India,27ONNDA64393182G,supplier13@company.com,+917844342519,INACTIVE,#45B7D1,13,OLD13,13,0,56,sup_13,0,SupplierScreen,supplier_icon,supplier_13.jpg,2025-10-03,GROUP7,BATCH_2023,3.23
SUP014,Supplier 14,Equipment,Jaipur,Punjab,India,27QYVAN45839377Z,supplier14@company.com,+919391172192,INACTIVE,#4ECDC4,14,OLD14,14,0,51,sup_14,1,SupplierScreen,supplier_icon,supplier_14.jpg,2026-02-09,GROUP4,BATCH_2026,2.36
SUP015,Supplier 15,Precious Metals,Vadodara,Gujarat,India,27VUPVR77913451P,supplier15@company.com,+916668778417,INACTIVE,#45B7D1,15,OLD15,15,0,61,sup_15,0,SupplierScreen,supplier_icon,supplier_15.jpg,2025-10-25,GROUP4,BATCH_2023,3.16
SUP016,Supplier 16,Equipment,Chandigarh,Madhya Pradesh,India,27FCXZF27694549P,,+917242604418,INACTIVE,#FF6B6B,16,OLD16,16,1,34,sup_16,1,SupplierScreen,supplier_icon,supplier_16.jpg,2026-06-07,GROUP7,BATCH_2021,3.19
SUP017,Supplier 17,Finished Goods,Singapore,Singapore,Thailand,,supplier17@company.com,+919758379635,INACTIVE,#45B7D1,17,OLD17,17,1,53,sup_17,0,SupplierScreen,supplier_icon,supplier_17.jpg,2026-02-19,GROUP10,BATCH_2026,2.2
SUP018,Supplier 18,Precious Metals,Surat,Rajasthan,India,27YHCYZ95898367B,,+917250549511,INACTIVE,#4ECDC4,18,OLD18,18,0,8,sup_18,0,SupplierScreen,supplier_icon,supplier_18.jpg,2026-04-01,GROUP7,BATCH_2021,3.97
SUP019,Supplier 19,Raw Materials,Vadodara,Madhya Pradesh,India,27SFXKS71015600S,supplier19@company.com,+917137109084,ACTIVE,#FF6B6B,19,OLD19,19,0,93,sup_19,0,SupplierScreen,supplier_icon,supplier_19.jpg,2025-08-02,GROUP4,BATCH_2026,4.6
SUP020,Supplier 20,Equipment,Vadodara,Punjab,India,27GHNJG35317997E,supplier20@company.com,+918708016287,INACTIVE,#45B7D1,20,OLD20,20,1,34,sup_20,1,SupplierScreen,supplier_icon,supplier_20.jpg,2026-05-22,GROUP6,BATCH_2022,2.35
SUP021,Supplier 21,Precious Metals,Hong Kong,Hong Kong,UAE,,,+917080938892,ACTIVE,#FF6B6B,21,OLD21,21,0,42,sup_21,0,SupplierScreen,supplier_icon,supplier_21.jpg,2026-03-21,GROUP8,BATCH_2025,4.3
SUP022,Supplier 22,Precious Metals,Indore,Punjab,India,27ITJEC37624370A,supplier22@company.com,+916307869282,ACTIVE,#FF6B6B,22,OLD22,22,1,55,sup_22,1,SupplierScreen,supplier_icon,supplier_22.jpg,2026-05-26,GROUP6,BATCH_2023,2.3
SUP023,Supplier 23,Raw Materials,Indore,Gujarat,India,27WAFLQ50090247O,supplier23@company.com,+917258090623,ACTIVE,#45B7D1,23,OLD23,23,0,10,sup_23,0,SupplierScreen,supplier_icon,supplier_23.jpg,2026-04-08,GROUP3,BATCH_2023,3.79
SUP024,Supplier 24,Raw Materials,Surat,Punjab,India,27XHCQR33018939H,supplier24@company.com,+919347957931,ACTIVE,#4ECDC4,24,OLD24,24,0,58,sup_24,0,SupplierScreen,supplier_icon,supplier_24.jpg,2025-09-21,GROUP8,BATCH_2025,2.55
SUP025,Supplier 25,Finished Goods,Surat,Gujarat,India,27FONMM21407797D,supplier25@company.com,+919506422555,ACTIVE,#FF6B6B,25,OLD25,25,0,73,sup_25,1,SupplierScreen,supplier_icon,supplier_25.jpg,2025-08-16,GROUP9,BATCH_2022,3.49
SUP026,Supplier 26,Finished Goods,Surat,Gujarat,India,27QPCSK24554714J,supplier26@company.com,,INACTIVE,#45B7D1,26,OLD26,26,0,25,sup_26,1,SupplierScreen,supplier_icon,supplier_26.jpg,2026-02-23,GROUP3,BATCH_2026,4.21
SUP027,Supplier 27,Precious Metals,Dubai,Dubai,UAE,,supplier27@company.com,+919908494967,INACTIVE,#45B7D1,27,OLD27,27,0,74,sup_27,0,SupplierScreen,supplier_icon,supplier_27.jpg,2025-07-03,GROUP8,BATCH_2023,2.96
SUP028,Supplier 28,Raw Materials,Indore,Punjab,India,27BQQBZ19161282B,supplier28@company.com,+917447740766,ACTIVE,#45B7D1,28,OLD28,28,1,84,sup_28,0,SupplierScreen,supplier_icon,supplier_28.jpg,2025-12-10,GROUP3,BATCH_2025,4.57
SUP029,Supplier 29,Finished Goods,Indore,Madhya Pradesh,India,27DBVSI30749682D,supplier29@company.com,+916701679726,INACTIVE,#FF6B6B,29,OLD29,29,0,14,sup_29,1,SupplierScreen,supplier_icon,supplier_29.jpg,2025-09-06,GROUP8,BATCH_2025,4.38
SUP030,Supplier 30,Raw Materials,Vadodara,Rajasthan,India,27KHEIO94854764K,supplier30@company.com,,ACTIVE,#FF6B6B,30,OLD30,30,1,48,sup_30,0,SupplierScreen,supplier_icon,supplier_30.jpg,2026-06-04,GROUP2,BATCH_2022,3.0
SUP031,Supplier 31,Raw Materials,Chandigarh,Madhya Pradesh,India,27RHADJ75542728D,,+917599659029,INACTIVE,#45B7D1,31,OLD31,31,1,6,sup_31,0,SupplierScreen,supplier_icon,supplier_31.jpg,2025-10-14,GROUP10,BATCH_2025,2.17
SUP032,Supplier 32,Raw Materials,Jaipur,Gujarat,India,27BTNEZ98809716C,supplier32@company.com,,INACTIVE,#FF6B6B,32,OLD32,32,1,24,sup_32,0,SupplierScreen,supplier_icon,supplier_32.jpg,2026-03-11,GROUP7,BATCH_2023,3.17
SUP033,Supplier 33,Precious Metals,Surat,Gujarat,India,27GVASR54198547T,supplier33@company.com,+919846361102,ACTIVE,#FF6B6B,33,OLD33,33,0,36,sup_33,0,SupplierScreen,supplier_icon,supplier_33.jpg,2026-02-08,GROUP2,BATCH_2023,3.6
SUP034,Supplier 34,Finished Goods,Chandigarh,Gujarat,India,27BLSQY37744840G,supplier34@company.com,+918658617263,ACTIVE,#4ECDC4,34,OLD34,34,0,10,sup_34,0,SupplierScreen,supplier_icon,supplier_34.jpg,2025-08-18,GROUP6,BATCH_2025,3.03
SUP035,Supplier 35,Equipment,Vadodara,Rajasthan,India,27VRQRQ33657631J,supplier35@company.com,+918220502282,ACTIVE,#FF6B6B,35,OLD35,35,1,40,sup_35,1,SupplierScreen,supplier_icon,supplier_35.jpg,2025-07-27,GROUP10,BATCH_2024,4.24
SUP036,Supplier 36,Precious Metals,Dubai,Dubai,Singapore,,supplier36@company.com,+916083969568,ACTIVE,#4ECDC4,36,OLD36,36,1,80,sup_36,0,SupplierScreen,supplier_icon,supplier_36.jpg,2025-08-21,GROUP2,BATCH_2022,3.34
SUP037,Supplier 37,Precious Metals,Indore,Gujarat,India,27NSYZE52837356K,,+918897221841,ACTIVE,#4ECDC4,37,OLD37,37,0,98,sup_37,1,SupplierScreen,supplier_icon,supplier_37.jpg,2025-07-13,GROUP1,BATCH_2021,3.63
SUP038,Supplier 38,Precious Metals,Vadodara,Gujarat,India,27PQPDW88201163S,supplier38@company.com,+916268966321,ACTIVE,#4ECDC4,38,OLD38,38,1,66,sup_38,0,SupplierScreen,supplier_icon,supplier_38.jpg,2026-05-09,GROUP10,BATCH_2026,2.09
SUP039,Supplier 39,Raw Materials,Vadodara,Madhya Pradesh,India,27MNUPF10823404V,supplier39@company.com,,ACTIVE,#4ECDC4,39,OLD39,39,0,86,sup_39,1,SupplierScreen,supplier_icon,supplier_39.jpg,2025-10-27,GROUP4,BATCH_2023,3.17
SUP040,Supplier 40,Equipment,Vadodara,Gujarat,India,27SYMOY13557814H,supplier40@company.com,+917322791963,INACTIVE,#45B7D1,40,OLD40,40,0,4,sup_40,1,SupplierScreen,supplier_icon,supplier_40.jpg,2025-07-29,GROUP3,BATCH_2026,2.63
SUP041,Supplier 41,Raw Materials,Hong Kong,Hong Kong,UAE,,supplier41@company.com,+917064539626,INACTIVE,#4ECDC4,41,OLD41,41,1,19,sup_41,0,SupplierScreen,supplier_icon,supplier_41.jpg,2026-04-10,GROUP6,BATCH_2022,3.66
SUP042,Supplier 42,Equipment,Jaipur,Rajasthan,India,27SOSLC30575393J,supplier42@company.com,+916174351690,ACTIVE,#4ECDC4,42,OLD42,42,1,41,sup_42,0,SupplierScreen,supplier_icon,supplier_42.jpg,2026-02-05,GROUP9,BATCH_2026,4.85
SUP043,Supplier 43,Finished Goods,Dubai,Dubai,UAE,,,+919338519490,ACTIVE,#45B7D1,43,OLD43,43,0,9,sup_43,1,SupplierScreen,supplier_icon,supplier_43.jpg,2026-03-08,GROUP2,BATCH_2025,4.83
SUP044,Supplier 44,Equipment,Jaipur,Madhya Pradesh,India,27RQLKZ16525953V,,+916663510202,ACTIVE,#FF6B6B,44,OLD44,44,1,87,sup_44,0,SupplierScreen,supplier_icon,supplier_44.jpg,2025-09-10,GROUP7,BATCH_2021,4.6
SUP045,Supplier 45,Precious Metals,Jaipur,Madhya Pradesh,India,27NEGXR25770000X,supplier45@company.com,+916238511100,ACTIVE,#FF6B6B,45,OLD45,45,0,24,sup_45,0,SupplierScreen,supplier_icon,supplier_45.jpg,2026-05-17,GROUP2,BATCH_2024,2.26
SUP046,Supplier 46,Finished Goods,Indore,Punjab,India,27QPCHM27672725A,supplier46@company.com,+916029830079,ACTIVE,#45B7D1,46,OLD46,46,0,6,sup_46,1,SupplierScreen,supplier_icon,supplier_46.jpg,2025-11-01,GROUP4,BATCH_2026,2.42
SUP047,Supplier 47,Precious Metals,Chandigarh,Gujarat,India,27TYLSO13018864N,,+917905127975,INACTIVE,#FF6B6B,47,OLD47,47,0,41,sup_47,1,SupplierScreen,supplier_icon,supplier_47.jpg,2026-01-06,GROUP2,BATCH_2026,4.87
SUP048,Supplier 48,Finished Goods,Indore,Punjab,India,27VFVXZ93758317Z,supplier48@company.com,+917227608440,ACTIVE,#FF6B6B,48,OLD48,48,1,96,sup_48,1,SupplierScreen,supplier_icon,supplier_48.jpg,2025-08-29,GROUP8,BATCH_2023,3.95
SUP049,Supplier 49,Raw Materials,Dubai,Dubai,Thailand,,supplier49@company.com,+919968902524,ACTIVE,#45B7D1,49,OLD49,49,1,69,sup_49,0,SupplierScreen,supplier_icon,supplier_49.jpg,2025-12-24,GROUP7,BATCH_2026,2.11
SUP050,Supplier 50,Precious Metals,Jaipur,Gujarat,India,27DTTYG80885695X,supplier50@company.com,,INACTIVE,#45B7D1,50,OLD50,50,1,79,sup_50,1,SupplierScreen,supplier_icon,supplier_50.jpg,2026-06-17,GROUP1,BATCH_2026,3.65
SUP051,Supplier 51,Raw Materials,Surat,Madhya Pradesh,India,27RTRHK12042283U,supplier51@company.com,+918285241507,ACTIVE,#45B7D1,51,OLD51,51,0,21,sup_51,0,SupplierScreen,supplier_icon,supplier_51.jpg,2025-08-18,GROUP1,BATCH_2022,3.89
SUP052,Supplier 52,Equipment,Singapore,Singapore,Singapore,,supplier52@company.com,+917622813499,INACTIVE,#4ECDC4,52,OLD52,52,0,41,sup_52,0,SupplierScreen,supplier_icon,supplier_52.jpg,2026-06-10,GROUP6,BATCH_2021,2.07
SUP053,Supplier 53,Precious Metals,Hong Kong,Hong Kong,Hong Kong,,supplier53@company.com,+919510565158,ACTIVE,#45B7D1,53,OLD53,53,0,41,sup_53,1,SupplierScreen,supplier_icon,supplier_53.jpg,2025-11-22,GROUP5,BATCH_2021,3.26
SUP054,Supplier 54,Equipment,Surat,Rajasthan,India,27FYPXK83649193L,supplier54@company.com,+918323903103,ACTIVE,#45B7D1,54,OLD54,54,1,11,sup_54,0,SupplierScreen,supplier_icon,supplier_54.jpg,2025-12-06,GROUP1,BATCH_2022,2.54
SUP055,Supplier 55,Raw Materials,Bangkok,Bangkok,UAE,,supplier55@company.com,+917495582151,ACTIVE,#4ECDC4,55,OLD55,55,1,93,sup_55,1,SupplierScreen,supplier_icon,supplier_55.jpg,2026-03-04,GROUP10,BATCH_2025,3.51
SUP056,Supplier 56,Raw Materials,Hong Kong,Hong Kong,Singapore,,supplier56@company.com,+919899881717,INACTIVE,#4ECDC4,56,OLD56,56,0,14,sup_56,1,SupplierScreen,supplier_icon,supplier_56.jpg,2026-06-05,GROUP6,BATCH_2021,2.04
SUP057,Supplier 57,Precious Metals,Vadodara,Punjab,India,27BQRVL82551825X,supplier57@company.com,+919782410015,ACTIVE,#4ECDC4,57,OLD57,57,0,77,sup_57,0,SupplierScreen,supplier_icon,supplier_57.jpg,2025-10-03,GROUP1,BATCH_2021,2.24
SUP058,Supplier 58,Precious Metals,Chandigarh,Gujarat,India,27HRCTZ41183302X,supplier58@company.com,,INACTIVE,#4ECDC4,58,OLD58,58,1,64,sup_58,0,SupplierScreen,supplier_icon,supplier_58.jpg,2026-05-13,GROUP1,BATCH_2026,4.56
SUP059,Supplier 59,Finished Goods,Surat,Gujarat,India,27DJKUQ66325779Z,supplier59@company.com,+916363420636,ACTIVE,#FF6B6B,59,OLD59,59,0,61,sup_59,0,SupplierScreen,supplier_icon,supplier_59.jpg,2025-12-04,GROUP8,BATCH_2025,2.96
SUP060,Supplier 60,Raw Materials,Indore,Gujarat,India,27PMULO45191152X,supplier60@company.com,+919054688030,INACTIVE,#45B7D1,60,OLD60,60,0,85,sup_60,0,SupplierScreen,supplier_icon,supplier_60.jpg,2026-03-26,GROUP8,BATCH_2024,4.72
SUP061,Supplier 61,Raw Materials,Jaipur,Gujarat,India,27QFDVW50675399L,supplier61@company.com,+918952255016,INACTIVE,#4ECDC4,61,OLD61,61,0,11,sup_61,1,SupplierScreen,supplier_icon,supplier_61.jpg,2025-09-27,GROUP7,BATCH_2026,4.83
SUP062,Supplier 62,Equipment,Chandigarh,Rajasthan,India,27MWPMK52476925S,supplier62@company.com,+916226375698,INACTIVE,#4ECDC4,62,OLD62,62,0,62,sup_62,0,SupplierScreen,supplier_icon,supplier_62.jpg,2026-05-07,GROUP2,BATCH_2023,4.53
SUP063,Supplier 63,Finished Goods,Hong Kong,Hong Kong,Singapore,,supplier63@company.com,+916645472991,ACTIVE,#45B7D1,63,OLD63,63,1,22,sup_63,0,SupplierScreen,supplier_icon,supplier_63.jpg,2025-07-29,GROUP9,BATCH_2025,4.62
SUP064,Supplier 64,Finished Goods,Indore,Gujarat,India,27PWAPE85299780V,supplier64@company.com,+917522486950,INACTIVE,#4ECDC4,64,OLD64,64,1,77,sup_64,0,SupplierScreen,supplier_icon,supplier_64.jpg,2026-04-15,GROUP9,BATCH_2025,4.32
SUP065,Supplier 65,Precious Metals,Hong Kong,Hong Kong,Singapore,,supplier65@company.com,+916553921760,ACTIVE,#4ECDC4,65,OLD65,65,0,95,sup_65,0,SupplierScreen,supplier_icon,supplier_65.jpg,2025-11-09,GROUP4,BATCH_2021,3.77
SUP066,Supplier 66,Raw Materials,Vadodara,Gujarat,India,27YZNCM90760608Q,supplier66@company.com,+916700913149,ACTIVE,#4ECDC4,66,OLD66,66,0,63,sup_66,1,SupplierScreen,supplier_icon,supplier_66.jpg,2025-07-30,GROUP7,BATCH_2026,3.06
SUP067,Supplier 67,Equipment,Surat,Gujarat,India,27DZAJK16127155H,supplier67@company.com,+916336708939,INACTIVE,#4ECDC4,67,OLD67,67,1,19,sup_67,1,SupplierScreen,supplier_icon,supplier_67.jpg,2026-01-02,GROUP2,BATCH_2022,2.36
SUP068,Supplier 68,Equipment,Bangkok,Bangkok,Singapore,,supplier68@company.com,+917084120184,ACTIVE,#4ECDC4,68,OLD68,68,1,85,sup_68,1,SupplierScreen,supplier_icon,supplier_68.jpg,2025-12-02,GROUP8,BATCH_2021,4.32
SUP069,Supplier 69,Equipment,Hong Kong,Hong Kong,UAE,,supplier69@company.com,+918063521048,ACTIVE,#4ECDC4,69,OLD69,69,0,2,sup_69,0,SupplierScreen,supplier_icon,supplier_69.jpg,2025-09-10,GROUP1,BATCH_2022,3.13
SUP070,Supplier 70,Finished Goods,Singapore,Singapore,UAE,,supplier70@company.com,+916426884769,ACTIVE,#4ECDC4,70,OLD70,70,0,91,sup_70,1,SupplierScreen,supplier_icon,supplier_70.jpg,2025-06-22,GROUP6,BATCH_2026,3.98
SUP071,Supplier 71,Precious Metals,Vadodara,Punjab,India,27KLFBD35470801D,supplier71@company.com,+919593834829,INACTIVE,#4ECDC4,71,OLD71,71,0,25,sup_71,1,SupplierScreen,supplier_icon,supplier_71.jpg,2026-05-09,GROUP8,BATCH_2024,2.85
SUP072,Supplier 72,Finished Goods,Surat,Punjab,India,27BNQSE10493544J,supplier72@company.com,+919679339549,INACTIVE,#FF6B6B,72,OLD72,72,1,2,sup_72,1,SupplierScreen,supplier_icon,supplier_72.jpg,2025-12-22,GROUP2,BATCH_2022,3.62
SUP073,Supplier 73,Finished Goods,Bangkok,Bangkok,Singapore,,supplier73@company.com,+916031338543,INACTIVE,#4ECDC4,73,OLD73,73,0,42,sup_73,1,SupplierScreen,supplier_icon,supplier_73.jpg,2026-02-06,GROUP7,BATCH_2024,4.16
SUP074,Supplier 74,Raw Materials,Hong Kong,Hong Kong,Singapore,,supplier74@company.com,+918012061263,ACTIVE,#4ECDC4,74,OLD74,74,1,60,sup_74,0,SupplierScreen,supplier_icon,supplier_74.jpg,2026-04-02,GROUP2,BATCH_2021,4.75
SUP075,Supplier 75,Raw Materials,Vadodara,Madhya Pradesh,India,27CXIEL84376637G,supplier75@company.com,+919184638448,INACTIVE,#4ECDC4,75,OLD75,75,1,15,sup_75,1,SupplierScreen,supplier_icon,supplier_75.jpg,2025-10-24,GROUP2,BATCH_2026,4.5
SUP076,Supplier 76,Equipment,Vadodara,Gujarat,India,27UDTSJ39737718H,supplier76@company.com,+918521649279,INACTIVE,#4ECDC4,76,OLD76,76,0,2,sup_76,1,SupplierScreen,supplier_icon,supplier_76.jpg,2026-06-08,GROUP7,BATCH_2025,4.04
SUP077,Supplier 77,Raw Materials,Vadodara,Gujarat,India,27TDUME17172814K,supplier77@company.com,+916018274819,INACTIVE,#4ECDC4,77,OLD77,77,1,27,sup_77,0,SupplierScreen,supplier_icon,supplier_77.jpg,2026-06-10,GROUP6,BATCH_2023,2.66
SUP078,Supplier 78,Raw Materials,Bangkok,Bangkok,UAE,,supplier78@company.com,+918698319854,INACTIVE,#FF6B6B,78,OLD78,78,0,95,sup_78,1,SupplierScreen,supplier_icon,supplier_78.jpg,2025-07-04,GROUP1,BATCH_2026,4.89
SUP079,Supplier 79,Equipment,Dubai,Dubai,Hong Kong,,supplier79@company.com,+917043100420,INACTIVE,#FF6B6B,79,OLD79,79,0,19,sup_79,1,SupplierScreen,supplier_icon,supplier_79.jpg,2026-04-28,GROUP7,BATCH_2026,2.54
SUP080,Supplier 80,Equipment,Indore,Rajasthan,India,27BWIMR98921690S,supplier80@company.com,+919583802018,INACTIVE,#4ECDC4,80,OLD80,80,1,95,sup_80,0,SupplierScreen,supplier_icon,supplier_80.jpg,2026-01-22,GROUP2,BATCH_2024,2.1
SUP081,Supplier 81,Raw Materials,Chandigarh,Madhya Pradesh,India,27TNEAU23820865X,supplier81@company.com,+916625822841,ACTIVE,#4ECDC4,81,OLD81,81,0,90,sup_81,0,SupplierScreen,supplier_icon,supplier_81.jpg,2025-07-09,GROUP5,BATCH_2023,4.78
SUP082,Supplier 82,Raw Materials,Jaipur,Punjab,India,27VUQZI84171693T,supplier82@company.com,+917559160473,ACTIVE,#4ECDC4,82,OLD82,82,1,70,sup_82,0,SupplierScreen,supplier_icon,supplier_82.jpg,2026-02-22,GROUP8,BATCH_2024,4.16
SUP083,Supplier 83,Finished Goods,Indore,Madhya Pradesh,India,27QMRTB93331361A,supplier83@company.com,+916087148341,ACTIVE,#45B7D1,83,OLD83,83,1,93,sup_83,1,SupplierScreen,supplier_icon,supplier_83.jpg,2025-07-20,GROUP6,BATCH_2024,4.5
SUP084,Supplier 84,Equipment,Hong Kong,Hong Kong,Thailand,,supplier84@company.com,+919758010580,INACTIVE,#4ECDC4,84,OLD84,84,0,25,sup_84,1,SupplierScreen,supplier_icon,supplier_84.jpg,2026-03-02,GROUP3,BATCH_2024,4.54
SUP085,Supplier 85,Finished Goods,Indore,Madhya Pradesh,India,27YAEQD14792141P,supplier85@company.com,+916521504352,INACTIVE,#4ECDC4,85,OLD85,85,1,4,sup_85,1,SupplierScreen,supplier_icon,supplier_85.jpg,2025-08-09,GROUP2,BATCH_2024,2.47
SUP086,Supplier 86,Raw Materials,Vadodara,Gujarat,India,27JPHNB36050609D,supplier86@company.com,+918919818327,ACTIVE,#45B7D1,86,OLD86,86,0,44,sup_86,0,SupplierScreen,supplier_icon,supplier_86.jpg,2025-12-31,GROUP7,BATCH_2025,2.37
SUP087,Supplier 87,Equipment,Hong Kong,Hong Kong,Singapore,,supplier87@company.com,+917248308572,INACTIVE,#45B7D1,87,OLD87,87,0,67,sup_87,0,SupplierScreen,supplier_icon,supplier_87.jpg,2026-04-06,GROUP7,BATCH_2026,2.99
SUP088,Supplier 88,Raw Materials,Jaipur,Madhya Pradesh,India,27IFNUV30926450X,,+917282472135,INACTIVE,#45B7D1,88,OLD88,88,0,22,sup_88,1,SupplierScreen,supplier_icon,supplier_88.jpg,2025-08-09,GROUP1,BATCH_2022,4.61
SUP089,Supplier 89,Finished Goods,Vadodara,Gujarat,India,27PQWDA20817514U,supplier89@company.com,+916396249821,INACTIVE,#4ECDC4,89,OLD89,89,1,7,sup_89,0,SupplierScreen,supplier_icon,supplier_89.jpg,2026-03-23,GROUP5,BATCH_2025,3.93
SUP090,Supplier 90,Raw Materials,Vadodara,Rajasthan,India,27GGRCH23099289M,supplier90@company.com,+918628978621,ACTIVE,#4ECDC4,90,OLD90,90,1,54,sup_90,1,SupplierScreen,supplier_icon,supplier_90.jpg,2026-06-09,GROUP5,BATCH_2021,2.08
SUP091,Supplier 91,Precious Metals,Chandigarh,Gujarat,India,27BPJMK26770149K,supplier91@company.com,+917009055368,INACTIVE,#45B7D1,91,OLD91,91,0,100,sup_91,1,SupplierScreen,supplier_icon,supplier_91.jpg,2025-12-30,GROUP6,BATCH_2024,4.63
SUP092,Supplier 92,Precious Metals,Chandigarh,Rajasthan,India,27DMRQF18020140R,supplier92@company.com,+918859443959,INACTIVE,#45B7D1,92,OLD92,92,1,85,sup_92,1,SupplierScreen,supplier_icon,supplier_92.jpg,2025-12-09,GROUP3,BATCH_2024,2.18
SUP093,Supplier 93,Equipment,Jaipur,Punjab,India,27CXZRS47479268C,supplier93@company.com,+916380324269,ACTIVE,#FF6B6B,93,OLD93,93,0,79,sup_93,1,SupplierScreen,supplier_icon,supplier_93.jpg,2025-10-12,GROUP10,BATCH_2021,3.69
SUP094,Supplier 94,Precious Metals,Vadodara,Gujarat,India,27LGRYA25849863O,supplier94@company.com,+919036234538,INACTIVE,#FF6B6B,94,OLD94,94,1,90,sup_94,0,SupplierScreen,supplier_icon,supplier_94.jpg,2025-11-06,GROUP10,BATCH_2026,2.12
